,year,week_number,content,relative_yearly,relative_period
557,2020,36,0,0.0,0.0
558,2020,37,0,0.0,0.0
559,2020,38,0,0.0,0.0
560,2020,39,0,0.0,0.0
561,2020,40,0,0.0,0.0
562,2020,41,0,0.0,0.0
563,2020,42,0,0.0,0.0
564,2020,43,0,0.0,0.0
565,2020,44,0,0.0,0.0
566,2020,45,1,50.0,50.0
567,2020,46,1,50.0,50.0
568,2020,47,0,0.0,0.0
569,2020,48,0,0.0,0.0
570,2020,49,0,0.0,0.0
571,2020,50,1,50.0,50.0
572,2020,51,0,0.0,0.0
573,2020,52,0,0.0,0.0
574,2021,1,0,0.0,0.0
575,2021,2,1,100.0,50.0
576,2021,3,0,0.0,0.0
577,2021,4,0,0.0,0.0
578,2021,5,0,0.0,0.0
579,2021,6,0,0.0,0.0
580,2021,7,0,0.0,0.0
581,2021,8,0,0.0,0.0
582,2021,9,0,0.0,0.0
583,2021,10,0,0.0,0.0
584,2021,11,0,0.0,0.0
585,2021,12,1,100.0,50.0
586,2021,13,0,0.0,0.0
587,2021,14,0,0.0,0.0
588,2021,15,0,0.0,0.0
589,2021,16,0,0.0,0.0
590,2021,17,0,0.0,0.0
591,2021,18,0,0.0,0.0
592,2021,19,0,0.0,0.0
593,2021,20,0,0.0,0.0
594,2021,21,0,0.0,0.0
595,2021,22,0,0.0,0.0
596,2021,23,0,0.0,0.0
597,2021,24,1,100.0,50.0
598,2021,25,0,0.0,0.0
599,2021,26,0,0.0,0.0
600,2021,27,0,0.0,0.0
601,2021,28,0,0.0,0.0
602,2021,29,1,100.0,50.0
603,2021,30,0,0.0,0.0
604,2021,31,0,0.0,0.0
605,2021,32,0,0.0,0.0
606,2021,33,0,0.0,0.0
607,2021,34,0,0.0,0.0
608,2021,35,0,0.0,0.0
609,2021,36,0,0.0,0.0
610,2021,37,1,100.0,50.0
611,2021,38,0,0.0,0.0
612,2021,39,0,0.0,0.0
613,2021,40,0,0.0,0.0
614,2021,41,0,0.0,0.0
615,2021,42,0,0.0,0.0
616,2021,43,0,0.0,0.0
617,2021,44,0,0.0,0.0
618,2021,45,0,0.0,0.0
619,2021,46,0,0.0,0.0
620,2021,47,0,0.0,0.0
621,2021,48,0,0.0,0.0
622,2021,49,1,100.0,50.0
623,2021,50,0,0.0,0.0
624,2021,51,0,0.0,0.0
625,2021,52,0,0.0,0.0
626,2022,1,0,0.0,0.0
627,2022,2,0,0.0,0.0
628,2022,3,0,0.0,0.0
629,2022,4,0,0.0,0.0
630,2022,5,0,0.0,0.0
631,2022,6,0,0.0,0.0
632,2022,7,0,0.0,0.0
633,2022,8,0,0.0,0.0
634,2022,9,1,50.0,50.0
635,2022,10,0,0.0,0.0
636,2022,11,0,0.0,0.0
637,2022,12,0,0.0,0.0
638,2022,13,2,100.0,100.0
639,2022,14,0,0.0,0.0
640,2022,15,0,0.0,0.0
641,2022,16,0,0.0,0.0
642,2022,17,1,50.0,50.0
643,2022,18,0,0.0,0.0
644,2022,19,2,100.0,100.0
645,2022,20,0,0.0,0.0
646,2022,21,1,50.0,50.0
647,2022,22,0,0.0,0.0
648,2022,23,0,0.0,0.0
649,2022,24,0,0.0,0.0
650,2022,25,2,100.0,100.0
651,2022,26,0,0.0,0.0
652,2022,27,0,0.0,0.0
653,2022,28,0,0.0,0.0
654,2022,29,0,0.0,0.0
655,2022,30,0,0.0,0.0
656,2022,31,0,0.0,0.0
657,2022,32,0,0.0,0.0
658,2022,33,0,0.0,0.0
659,2022,34,0,0.0,0.0
660,2022,35,0,0.0,0.0
661,2022,36,0,0.0,0.0
662,2022,37,0,0.0,0.0
663,2022,38,0,0.0,0.0
664,2022,39,0,0.0,0.0
665,2022,40,0,0.0,0.0
666,2022,41,0,0.0,0.0
667,2022,42,0,0.0,0.0
668,2022,43,0,0.0,0.0
669,2022,44,0,0.0,0.0
670,2022,45,0,0.0,0.0
671,2022,46,0,0.0,0.0
672,2022,47,0,0.0,0.0
673,2022,48,0,0.0,0.0
674,2022,49,0,0.0,0.0
675,2022,50,0,0.0,0.0
676,2022,51,0,0.0,0.0
677,2022,52,0,0.0,0.0
