,year,week_number,content,relative_yearly,relative_period
210,2014,1,2,33.33333333333333,16.666666666666664
211,2014,2,6,100.0,50.0
212,2014,3,1,16.666666666666664,8.333333333333332
213,2014,4,0,0.0,0.0
214,2014,5,0,0.0,0.0
215,2014,6,4,66.66666666666666,33.33333333333333
216,2014,7,0,0.0,0.0
217,2014,8,2,33.33333333333333,16.666666666666664
218,2014,9,2,33.33333333333333,16.666666666666664
219,2014,10,1,16.666666666666664,8.333333333333332
220,2014,11,3,50.0,25.0
221,2014,12,4,66.66666666666666,33.33333333333333
222,2014,13,2,33.33333333333333,16.666666666666664
223,2014,14,4,66.66666666666666,33.33333333333333
224,2014,15,0,0.0,0.0
225,2014,16,4,66.66666666666666,33.33333333333333
226,2014,17,2,33.33333333333333,16.666666666666664
227,2014,18,2,33.33333333333333,16.666666666666664
228,2014,19,0,0.0,0.0
229,2014,20,1,16.666666666666664,8.333333333333332
230,2014,21,1,16.666666666666664,8.333333333333332
231,2014,22,3,50.0,25.0
232,2014,23,1,16.666666666666664,8.333333333333332
233,2014,24,2,33.33333333333333,16.666666666666664
234,2014,25,4,66.66666666666666,33.33333333333333
235,2014,26,0,0.0,0.0
236,2014,27,0,0.0,0.0
237,2014,28,1,16.666666666666664,8.333333333333332
238,2014,29,0,0.0,0.0
239,2014,30,2,33.33333333333333,16.666666666666664
240,2014,31,0,0.0,0.0
241,2014,32,1,16.666666666666664,8.333333333333332
242,2014,33,3,50.0,25.0
243,2014,34,3,50.0,25.0
244,2014,35,5,83.33333333333333,41.666666666666664
245,2014,36,2,33.33333333333333,16.666666666666664
246,2014,37,0,0.0,0.0
247,2014,38,2,33.33333333333333,16.666666666666664
248,2014,39,1,16.666666666666664,8.333333333333332
249,2014,40,1,16.666666666666664,8.333333333333332
250,2014,41,1,16.666666666666664,8.333333333333332
251,2014,42,0,0.0,0.0
252,2014,43,0,0.0,0.0
253,2014,44,0,0.0,0.0
254,2014,45,2,33.33333333333333,16.666666666666664
255,2014,46,1,16.666666666666664,8.333333333333332
256,2014,47,2,33.33333333333333,16.666666666666664
257,2014,48,5,83.33333333333333,41.666666666666664
258,2014,49,3,50.0,25.0
259,2014,50,0,0.0,0.0
260,2014,51,3,50.0,25.0
261,2014,52,0,0.0,0.0
262,2015,1,1,16.666666666666664,8.333333333333332
263,2015,2,3,50.0,25.0
264,2015,3,1,16.666666666666664,8.333333333333332
265,2015,4,3,50.0,25.0
266,2015,5,2,33.33333333333333,16.666666666666664
267,2015,6,2,33.33333333333333,16.666666666666664
268,2015,7,0,0.0,0.0
269,2015,8,1,16.666666666666664,8.333333333333332
270,2015,9,2,33.33333333333333,16.666666666666664
271,2015,10,1,16.666666666666664,8.333333333333332
272,2015,11,1,16.666666666666664,8.333333333333332
273,2015,12,3,50.0,25.0
