,year,week_number,content,relative_yearly,relative_period
262,2015,2,6,100.0,85.71428571428571
263,2015,3,3,50.0,42.857142857142854
264,2015,4,1,16.666666666666664,14.285714285714285
265,2015,5,2,33.33333333333333,28.57142857142857
266,2015,6,0,0.0,0.0
267,2015,7,1,16.666666666666664,14.285714285714285
268,2015,8,2,33.33333333333333,28.57142857142857
269,2015,9,2,33.33333333333333,28.57142857142857
270,2015,10,0,0.0,0.0
271,2015,11,0,0.0,0.0
272,2015,12,0,0.0,0.0
273,2015,13,0,0.0,0.0
274,2015,14,0,0.0,0.0
275,2015,15,0,0.0,0.0
276,2015,16,0,0.0,0.0
277,2015,17,0,0.0,0.0
278,2015,18,0,0.0,0.0
279,2015,19,1,16.666666666666664,14.285714285714285
280,2015,20,0,0.0,0.0
281,2015,21,5,83.33333333333333,71.42857142857142
282,2015,22,1,16.666666666666664,14.285714285714285
283,2015,23,0,0.0,0.0
284,2015,24,0,0.0,0.0
285,2015,25,1,16.666666666666664,14.285714285714285
286,2015,26,2,33.33333333333333,28.57142857142857
287,2015,27,1,16.666666666666664,14.285714285714285
288,2015,28,3,50.0,42.857142857142854
289,2015,29,1,16.666666666666664,14.285714285714285
290,2015,30,0,0.0,0.0
291,2015,31,0,0.0,0.0
292,2015,32,0,0.0,0.0
293,2015,33,1,16.666666666666664,14.285714285714285
294,2015,34,2,33.33333333333333,28.57142857142857
295,2015,35,1,16.666666666666664,14.285714285714285
296,2015,36,0,0.0,0.0
297,2015,37,0,0.0,0.0
298,2015,38,2,33.33333333333333,28.57142857142857
299,2015,39,3,50.0,42.857142857142854
300,2015,40,2,33.33333333333333,28.57142857142857
301,2015,41,4,66.66666666666666,57.14285714285714
302,2015,42,2,33.33333333333333,28.57142857142857
303,2015,43,1,16.666666666666664,14.285714285714285
304,2015,44,2,33.33333333333333,28.57142857142857
305,2015,45,0,0.0,0.0
306,2015,46,0,0.0,0.0
307,2015,47,3,50.0,42.857142857142854
308,2015,48,1,16.666666666666664,14.285714285714285
309,2015,49,2,33.33333333333333,28.57142857142857
310,2015,50,0,0.0,0.0
311,2015,51,0,0.0,0.0
312,2015,52,2,33.33333333333333,28.57142857142857
313,2016,1,4,57.14285714285714,57.14285714285714
314,2016,2,3,42.857142857142854,42.857142857142854
315,2016,3,4,57.14285714285714,57.14285714285714
316,2016,4,2,28.57142857142857,28.57142857142857
317,2016,5,1,14.285714285714285,14.285714285714285
318,2016,6,1,14.285714285714285,14.285714285714285
319,2016,7,0,0.0,0.0
320,2016,8,1,14.285714285714285,14.285714285714285
321,2016,9,1,14.285714285714285,14.285714285714285
322,2016,10,0,0.0,0.0
323,2016,11,2,28.57142857142857,28.57142857142857
324,2016,12,0,0.0,0.0
325,2016,13,1,14.285714285714285,14.285714285714285
326,2016,14,7,100.0,100.0
